Timestamp,HP3458A @ 10 @ HP3458
2026-03-06 23:33:07.786,-5.774874603E-05
2026-03-06 23:33:07.910,-5.471871923E-05
2026-03-06 23:33:08.033,-5.676844324E-05
2026-03-06 23:33:08.158,-5.00845606E-05
2026-03-06 23:33:08.281,-5.00845606E-05
2026-03-06 23:33:08.405,-6.024406222E-05
2026-03-06 23:33:08.528,-6.657147112E-05
2026-03-06 23:33:08.654,-6.621499738E-05
2026-03-06 23:33:08.780,-6.568028677E-05
2026-03-06 23:33:08.904,-5.828345664E-05
2026-03-06 23:33:09.027,-6.086789127E-05
2026-03-06 23:33:09.152,-5.596637733E-05
2026-03-06 23:33:09.276,-4.999544217E-05
2026-03-06 23:33:09.400,-5.240163992E-05
2026-03-06 23:33:09.525,-5.623373263E-05
2026-03-06 23:33:09.648,-5.525342985E-05
2026-03-06 23:33:09.773,-5.026279747E-05
2026-03-06 23:33:09.897,-6.140260188E-05
2026-03-06 23:33:10.020,-6.532381303E-05
2026-03-06 23:33:10.143,-6.175907562E-05
2026-03-06 23:33:10.267,-6.345232589E-05
2026-03-06 23:33:10.392,-6.060053596E-05
2026-03-06 23:33:10.515,-5.935287787E-05
2026-03-06 23:33:10.643,-5.356017958E-05
2026-03-06 23:33:10.763,-5.970935161E-05
2026-03-06 23:33:10.886,-5.240163992E-05
2026-03-06 23:33:11.010,-6.140260188E-05
2026-03-06 23:33:11.134,-6.068965439E-05
2026-03-06 23:33:11.258,-5.997670691E-05
2026-03-06 23:33:11.382,-5.783786447E-05
2026-03-06 23:33:11.507,-5.739227229E-05
2026-03-06 23:33:11.630,-5.685756168E-05
2026-03-06 23:33:11.753,-5.685756168E-05
2026-03-06 23:33:11.877,-5.712491699E-05
2026-03-06 23:33:12.000,-5.00845606E-05
2026-03-06 23:33:12.122,-5.302546896E-05
2026-03-06 23:33:12.246,-6.70170633E-05
2026-03-06 23:33:12.370,-5.828345664E-05
2026-03-06 23:33:12.492,-5.908552256E-05
2026-03-06 23:33:12.618,-5.026279747E-05
2026-03-06 23:33:12.741,-5.846169351E-05
2026-03-06 23:33:12.866,-5.828345664E-05
2026-03-06 23:33:12.992,-5.855081195E-05
2026-03-06 23:33:13.116,-5.516431141E-05
2026-03-06 23:33:13.239,-5.035191591E-05
2026-03-06 23:33:13.362,-5.061927121E-05
2026-03-06 23:33:13.488,-5.899640413E-05
2026-03-06 23:33:13.612,-5.659020637E-05
2026-03-06 23:33:13.735,-6.532381303E-05
2026-03-06 23:33:13.860,-5.9174641E-05
2026-03-06 23:33:13.985,-6.256114153E-05
2026-03-06 23:33:14.109,-6.060053596E-05
2026-03-06 23:33:14.233,-5.685756168E-05
2026-03-06 23:33:14.358,-5.382753488E-05
2026-03-06 23:33:14.482,-5.605549576E-05
2026-03-06 23:33:14.606,-5.026279747E-05
2026-03-06 23:33:14.729,-5.926375943E-05
2026-03-06 23:33:14.853,-6.086789127E-05
2026-03-06 23:33:14.977,-5.828345664E-05
2026-03-06 23:33:15.101,-5.124310026E-05
2026-03-06 23:33:15.226,-5.61446142E-05
2026-03-06 23:33:15.356,-5.872904882E-05
2026-03-06 23:33:15.475,-5.703579855E-05
2026-03-06 23:33:15.600,-6.452174711E-05
2026-03-06 23:33:15.724,-5.48969561E-05
2026-03-06 23:33:15.850,-6.09570097E-05
2026-03-06 23:33:15.976,-5.596637733E-05
2026-03-06 23:33:16.099,-5.899640413E-05
2026-03-06 23:33:16.223,-5.9174641E-05
2026-03-06 23:33:16.345,-5.730315386E-05
2026-03-06 23:33:16.470,-6.42543918E-05
2026-03-06 23:33:16.596,-5.828345664E-05
2026-03-06 23:33:16.717,-5.819433821E-05
2026-03-06 23:33:16.842,-4.990632373E-05
2026-03-06 23:33:16.966,-5.061927121E-05
2026-03-06 23:33:17.092,-4.990632373E-05
2026-03-06 23:33:17.216,-6.523469459E-05
2026-03-06 23:33:17.339,-5.935287787E-05
2026-03-06 23:33:17.464,-5.979847004E-05
2026-03-06 23:33:17.590,-5.302546896E-05
2026-03-06 23:33:17.714,-5.846169351E-05
2026-03-06 23:33:17.838,-6.09570097E-05
2026-03-06 23:33:17.963,-5.659020637E-05
2026-03-06 23:33:18.087,-5.632285107E-05
2026-03-06 23:33:18.213,-5.757050916E-05
2026-03-06 23:33:18.338,-4.901513938E-05
2026-03-06 23:33:18.462,-4.669806006E-05
2026-03-06 23:33:18.588,-6.345232589E-05
2026-03-06 23:33:18.714,-6.202643092E-05
2026-03-06 23:33:18.837,-6.478910242E-05
2026-03-06 23:33:18.961,-6.149172031E-05
2026-03-06 23:33:19.086,-6.086789127E-05
2026-03-06 23:33:19.212,-5.953111474E-05
2026-03-06 23:33:19.336,-5.819433821E-05
2026-03-06 23:33:19.461,-5.480783767E-05
2026-03-06 23:33:19.584,-5.1599574E-05
2026-03-06 23:33:19.707,-5.935287787E-05
2026-03-06 23:33:19.834,-5.240163992E-05
2026-03-06 23:33:19.957,-5.240163992E-05
2026-03-06 23:33:20.083,-6.666058956E-05
2026-03-06 23:33:20.205,-6.514557616E-05
2026-03-06 23:33:20.330,-6.487822085E-05
2026-03-06 23:33:20.458,-5.855081195E-05
2026-03-06 23:33:20.583,-5.94419963E-05
2026-03-06 23:33:20.706,-5.560990359E-05
2026-03-06 23:33:20.831,-5.587725889E-05
2026-03-06 23:33:20.957,-6.648235268E-05
2026-03-06 23:33:21.081,-5.498607454E-05
2026-03-06 23:33:21.206,-5.1599574E-05
2026-03-06 23:33:21.330,-4.963896843E-05
2026-03-06 23:33:21.455,-5.587725889E-05
2026-03-06 23:33:21.577,-6.478910242E-05
2026-03-06 23:33:21.702,-6.345232589E-05
2026-03-06 23:33:21.828,-5.632285107E-05
2026-03-06 23:33:21.951,-6.585852364E-05
2026-03-06 23:33:22.077,-5.828345664E-05
2026-03-06 23:33:22.200,-5.9174641E-05
2026-03-06 23:33:22.324,-5.436224549E-05
2026-03-06 23:33:22.447,-6.621499738E-05
2026-03-06 23:33:22.573,-5.650108794E-05
2026-03-06 23:33:22.697,-5.257987679E-05
2026-03-06 23:33:22.820,-6.024406222E-05
2026-03-06 23:33:22.944,-5.926375943E-05
2026-03-06 23:33:23.069,-5.810521977E-05
2026-03-06 23:33:23.196,-5.685756168E-05
2026-03-06 23:33:23.319,-5.730315386E-05
2026-03-06 23:33:23.444,-5.676844324E-05
2026-03-06 23:33:23.570,-5.953111474E-05
2026-03-06 23:33:23.693,-4.928249468E-05
2026-03-06 23:33:23.819,-4.972808686E-05
2026-03-06 23:33:23.945,-5.356017958E-05
2026-03-06 23:33:24.068,-6.077877283E-05
2026-03-06 23:33:24.190,-5.177781087E-05
2026-03-06 23:33:24.314,-5.471871923E-05
2026-03-06 23:33:24.437,-6.158083875E-05
2026-03-06 23:33:24.560,-5.76596276E-05
2026-03-06 23:33:24.686,-6.603676051E-05
2026-03-06 23:33:24.813,-5.61446142E-05
2026-03-06 23:33:24.933,-5.988758848E-05
2026-03-06 23:33:25.061,-4.714365224E-05
2026-03-06 23:33:25.186,-5.436224549E-05
2026-03-06 23:33:25.312,-6.104612814E-05
2026-03-06 23:33:25.436,-5.088662652E-05
2026-03-06 23:33:25.558,-5.115398182E-05
2026-03-06 23:33:25.685,-6.256114153E-05
2026-03-06 23:33:25.812,-6.514557616E-05
2026-03-06 23:33:25.937,-6.229378623E-05
2026-03-06 23:33:26.062,-6.184819405E-05
2026-03-06 23:33:26.188,-6.033318065E-05
2026-03-06 23:33:26.314,-5.94419963E-05
2026-03-06 23:33:26.438,-5.890728569E-05
2026-03-06 23:33:26.568,-5.480783767E-05
2026-03-06 23:33:26.691,-5.329282427E-05
2026-03-06 23:33:26.813,-6.817560295E-05
2026-03-06 23:33:26.937,-4.839131033E-05
2026-03-06 23:33:27.063,-4.98172053E-05
2026-03-06 23:33:27.188,-6.256114153E-05
2026-03-06 23:33:27.310,-4.571775728E-05
2026-03-06 23:33:27.434,-5.507519297E-05
2026-03-06 23:33:27.560,-5.801610134E-05
2026-03-06 23:33:27.686,-5.757050916E-05
2026-03-06 23:33:27.808,-5.445136393E-05
2026-03-06 23:33:27.932,-5.471871923E-05
2026-03-06 23:33:28.058,-4.972808686E-05
2026-03-06 23:33:28.181,-4.928249468E-05
2026-03-06 23:33:28.306,-6.336320745E-05
2026-03-06 23:33:28.431,-5.061927121E-05
2026-03-06 23:33:28.554,-6.532381303E-05
2026-03-06 23:33:28.679,-5.979847004E-05
2026-03-06 23:33:28.804,-6.086789127E-05
2026-03-06 23:33:28.928,-5.819433821E-05
2026-03-06 23:33:29.052,-5.890728569E-05
2026-03-06 23:33:29.177,-5.534254828E-05
2026-03-06 23:33:29.303,-5.213428461E-05
2026-03-06 23:33:29.425,-6.594764207E-05
2026-03-06 23:33:29.551,-5.64119695E-05
2026-03-06 23:33:29.676,-4.892602094E-05
2026-03-06 23:33:29.801,-5.730315386E-05
2026-03-06 23:33:29.926,-6.532381303E-05
2026-03-06 23:33:30.050,-6.042229909E-05
2026-03-06 23:33:30.174,-5.730315386E-05
2026-03-06 23:33:30.300,-5.9174641E-05
2026-03-06 23:33:30.424,-5.471871923E-05
2026-03-06 23:33:30.548,-5.997670691E-05
2026-03-06 23:33:30.672,-4.464833605E-05
2026-03-06 23:33:30.796,-5.391665332E-05
2026-03-06 23:33:30.920,-6.541293146E-05
2026-03-06 23:33:31.049,-6.122436501E-05
2026-03-06 23:33:31.171,-6.113524657E-05
2026-03-06 23:33:31.297,-5.872904882E-05
2026-03-06 23:33:31.421,-5.623373263E-05
2026-03-06 23:33:31.544,-5.605549576E-05
2026-03-06 23:33:31.669,-5.605549576E-05
2026-03-06 23:33:31.797,-6.683882643E-05
2026-03-06 23:33:31.920,-5.676844324E-05
2026-03-06 23:33:32.045,-5.569902202E-05
2026-03-06 23:33:32.169,-5.044103434E-05
2026-03-06 23:33:32.296,-4.954984999E-05
2026-03-06 23:33:32.418,-6.140260188E-05
2026-03-06 23:33:32.546,-6.559116833E-05
2026-03-06 23:33:32.672,-6.639323425E-05
2026-03-06 23:33:32.803,-6.452174711E-05
2026-03-06 23:33:32.924,-5.997670691E-05
2026-03-06 23:33:33.047,-5.837257508E-05
2026-03-06 23:33:33.172,-5.605549576E-05
2026-03-06 23:33:33.297,-6.211554936E-05
2026-03-06 23:33:33.420,-5.846169351E-05
2026-03-06 23:33:33.545,-5.605549576E-05
2026-03-06 23:33:33.672,-4.848042877E-05
2026-03-06 23:33:33.794,-5.061927121E-05
2026-03-06 23:33:33.917,-6.469998398E-05
2026-03-06 23:33:34.041,-6.603676051E-05
2026-03-06 23:33:34.162,-6.603676051E-05
2026-03-06 23:33:34.288,-5.872904882E-05
2026-03-06 23:33:34.414,-5.846169351E-05
2026-03-06 23:33:34.536,-5.676844324E-05
2026-03-06 23:33:34.661,-6.077877283E-05
2026-03-06 23:33:34.785,-5.837257508E-05
2026-03-06 23:33:34.910,-5.1599574E-05
2026-03-06 23:33:35.033,-4.937161312E-05
2026-03-06 23:33:35.155,-5.356017958E-05
2026-03-06 23:33:35.280,-5.926375943E-05
2026-03-06 23:33:35.404,-5.739227229E-05
2026-03-06 23:33:35.534,-6.603676051E-05
2026-03-06 23:33:35.652,-6.042229909E-05
2026-03-06 23:33:35.774,-6.158083875E-05
2026-03-06 23:33:35.898,-5.76596276E-05
2026-03-06 23:33:36.023,-5.471871923E-05
2026-03-06 23:33:36.150,-5.507519297E-05
2026-03-06 23:33:36.275,-5.035191591E-05
2026-03-06 23:33:36.399,-4.625246789E-05
2026-03-06 23:33:36.529,-6.336320745E-05
2026-03-06 23:33:36.649,-5.863993038E-05
2026-03-06 23:33:36.772,-6.345232589E-05
2026-03-06 23:33:36.896,-6.523469459E-05
2026-03-06 23:33:37.022,-5.962023317E-05
2026-03-06 23:33:37.147,-6.042229909E-05
2026-03-06 23:33:37.269,-5.899640413E-05
2026-03-06 23:33:37.394,-5.373841645E-05
2026-03-06 23:33:37.519,-5.61446142E-05
2026-03-06 23:33:37.643,-5.962023317E-05
2026-03-06 23:33:37.767,-5.676844324E-05
2026-03-06 23:33:37.892,-5.097574495E-05
2026-03-06 23:33:38.018,-4.910425781E-05
2026-03-06 23:33:38.141,-6.140260188E-05
2026-03-06 23:33:38.266,-5.810521977E-05
2026-03-06 23:33:38.389,-6.380879963E-05
2026-03-06 23:33:38.516,-5.596637733E-05
2026-03-06 23:33:38.640,-6.657147112E-05
2026-03-06 23:33:38.763,-5.525342985E-05
2026-03-06 23:33:38.886,-4.954984999E-05
2026-03-06 23:33:39.011,-5.293635053E-05
2026-03-06 23:33:39.137,-6.416527337E-05
2026-03-06 23:33:39.261,-6.131348344E-05
2026-03-06 23:33:39.386,-6.068965439E-05
2026-03-06 23:33:39.511,-6.09570097E-05
2026-03-06 23:33:39.636,-4.821307346E-05
2026-03-06 23:33:39.759,-6.104612814E-05
2026-03-06 23:33:39.883,-5.837257508E-05
2026-03-06 23:33:40.008,-5.382753488E-05
2026-03-06 23:33:40.132,-5.979847004E-05
2026-03-06 23:33:40.257,-4.946073156E-05
2026-03-06 23:33:40.382,-4.616334945E-05
2026-03-06 23:33:40.505,-6.505645772E-05
2026-03-06 23:33:40.630,-6.336320745E-05
2026-03-06 23:33:40.756,-6.015494378E-05
2026-03-06 23:33:40.879,-5.748139073E-05
2026-03-06 23:33:41.001,-5.623373263E-05
2026-03-06 23:33:41.128,-5.783786447E-05
2026-03-06 23:33:41.257,-5.721403542E-05
2026-03-06 23:33:41.379,-5.454048236E-05
2026-03-06 23:33:41.504,-5.703579855E-05
2026-03-06 23:33:41.628,-5.044103434E-05
2026-03-06 23:33:41.751,-4.999544217E-05
2026-03-06 23:33:41.874,-5.124310026E-05
2026-03-06 23:33:41.997,-6.042229909E-05
2026-03-06 23:33:42.127,-5.578814046E-05
2026-03-06 23:33:42.247,-6.746265547E-05
2026-03-06 23:33:42.370,-5.988758848E-05
2026-03-06 23:33:42.496,-5.872904882E-05
2026-03-06 23:33:42.619,-5.712491699E-05
2026-03-06 23:33:42.741,-6.621499738E-05
2026-03-06 23:33:42.865,-5.48969561E-05
2026-03-06 23:33:42.987,-4.946073156E-05
2026-03-06 23:33:43.113,-5.124310026E-05
2026-03-06 23:33:43.236,-6.318497058E-05
2026-03-06 23:33:43.360,-6.621499738E-05
2026-03-06 23:33:43.485,-6.710618173E-05
2026-03-06 23:33:43.609,-6.158083875E-05
2026-03-06 23:33:43.733,-6.033318065E-05
2026-03-06 23:33:43.856,-6.086789127E-05
2026-03-06 23:33:43.979,-4.910425781E-05
2026-03-06 23:33:44.104,-4.963896843E-05
2026-03-06 23:33:44.225,-6.461086554E-05
2026-03-06 23:33:44.348,-6.051141752E-05
2026-03-06 23:33:44.470,-5.676844324E-05
2026-03-06 23:33:44.595,-5.926375943E-05
2026-03-06 23:33:44.717,-5.454048236E-05
2026-03-06 23:33:44.840,-5.703579855E-05
2026-03-06 23:33:44.966,-5.970935161E-05
2026-03-06 23:33:45.092,-5.186692931E-05
2026-03-06 23:33:45.215,-5.605549576E-05
2026-03-06 23:33:45.339,-5.837257508E-05
2026-03-06 23:33:45.463,-4.928249468E-05
2026-03-06 23:33:45.588,-5.400577175E-05
2026-03-06 23:33:45.712,-4.972808686E-05
2026-03-06 23:33:45.837,-5.694668011E-05
2026-03-06 23:33:45.961,-5.953111474E-05
2026-03-06 23:33:46.087,-5.596637733E-05
2026-03-06 23:33:46.212,-5.623373263E-05
2026-03-06 23:33:46.338,-5.855081195E-05
2026-03-06 23:33:46.462,-4.651982319E-05
2026-03-06 23:33:46.586,-4.999544217E-05
2026-03-06 23:33:46.712,-4.812395503E-05
2026-03-06 23:33:46.836,-6.443262867E-05
2026-03-06 23:33:46.961,-6.523469459E-05
2026-03-06 23:33:47.085,-6.799736608E-05
2026-03-06 23:33:47.209,-5.79269829E-05
2026-03-06 23:33:47.336,-5.721403542E-05
2026-03-06 23:33:47.459,-5.935287787E-05
2026-03-06 23:33:47.584,-5.578814046E-05
2026-03-06 23:33:47.709,-6.85320767E-05
2026-03-06 23:33:47.832,-5.605549576E-05
2026-03-06 23:33:47.958,-5.044103434E-05
2026-03-06 23:33:48.081,-5.035191591E-05
2026-03-06 23:33:48.207,-6.354144432E-05
2026-03-06 23:33:48.332,-6.158083875E-05
2026-03-06 23:33:48.457,-6.541293146E-05
2026-03-06 23:33:48.581,-6.220466779E-05
2026-03-06 23:33:48.707,-5.881816725E-05
2026-03-06 23:33:48.831,-5.9174641E-05
2026-03-06 23:33:48.957,-5.703579855E-05
2026-03-06 23:33:49.080,-6.113524657E-05
2026-03-06 23:33:49.205,-5.364929801E-05
2026-03-06 23:33:49.330,-5.9174641E-05
2026-03-06 23:33:49.454,-5.168869244E-05
2026-03-06 23:33:49.577,-5.213428461E-05
2026-03-06 23:33:49.703,-5.979847004E-05
2026-03-06 23:33:49.827,-6.648235268E-05
2026-03-06 23:33:49.953,-6.764089234E-05
2026-03-06 23:33:50.078,-5.703579855E-05
2026-03-06 23:33:50.202,-6.220466779E-05
2026-03-06 23:33:50.325,-5.659020637E-05
2026-03-06 23:33:50.448,-5.79269829E-05
2026-03-06 23:33:50.572,-4.919337625E-05
2026-03-06 23:33:50.695,-5.275811366E-05
2026-03-06 23:33:50.819,-5.534254828E-05
2026-03-06 23:33:50.944,-5.044103434E-05
2026-03-06 23:33:51.068,-4.883690251E-05
2026-03-06 23:33:51.192,-6.416527337E-05
2026-03-06 23:33:51.315,-5.739227229E-05
