# Timing post-processed analysis
# Source   : 2026-03-18_21-16-36_Multi_Timing.csv
# Generated: 2026-03-19 12:25:15
# Points   : 10000
# Disconnects: 0
Timestamp,Total_Ms,Comm_Ms,Address_Switch_Ms,UI_Ms,Record_Ms,Had_Error,Rolling_Mean_Total_Ms,Rolling_StdDev_Total_Ms
2026-03-19 03:44:27.211,2528.700,2155.500,373.100,0.000,0.000,0,2518.082,8.1239323
2026-03-19 03:44:29.772,2515.600,2140.500,375.000,0.000,0.000,0,2518.096,8.1184348
2026-03-19 03:44:32.343,2499.700,2127.200,372.200,0.200,0.100,0,2518,8.2770889
2026-03-19 03:44:34.923,2510.100,2137.300,372.700,0.000,0.000,0,2517.902,8.311955
2026-03-19 03:44:37.503,2519.100,2144.600,374.500,0.000,0.000,0,2517.943,8.3076501
2026-03-19 03:44:40.081,2517.800,2141.600,376.100,0.100,0.000,0,2517.825,8.2246261
2026-03-19 03:44:42.657,2517.000,2142.200,374.700,0.000,0.000,0,2517.702,8.1436721
2026-03-19 03:44:45.226,2513.200,2138.700,374.400,0.000,0.000,0,2517.78,8.062419
2026-03-19 03:44:47.798,2507.000,2130.000,376.900,0.000,0.000,0,2517.747,8.0996352
2026-03-19 03:44:50.376,2509.100,2131.600,377.400,0.100,0.000,0,2517.675,8.1440576
2026-03-19 03:44:52.975,2515.300,2140.700,374.400,0.100,0.000,0,2517.555,8.0895782
2026-03-19 03:44:55.559,2535.800,2156.600,379.100,0.000,0.000,0,2517.578,8.1380044
2026-03-19 03:44:58.129,2523.600,2151.700,371.600,0.100,0.000,0,2517.707,8.1301938
2026-03-19 03:45:00.723,2508.400,2132.500,375.900,0.000,0.000,0,2517.535,8.1433209
2026-03-19 03:45:03.297,2531.300,2153.800,377.400,0.100,0.000,0,2517.642,8.2524564
2026-03-19 03:45:05.870,2511.600,2138.900,372.600,0.000,0.000,0,2517.624,8.2636447
2026-03-19 03:45:08.444,2509.600,2134.400,375.200,0.000,0.000,0,2517.613,8.2735803
2026-03-19 03:45:11.022,2510.700,2136.600,374.000,0.000,0.000,0,2517.422,8.2102568
2026-03-19 03:45:13.600,2516.800,2142.700,374.000,0.100,0.000,0,2517.334,8.1691887
2026-03-19 03:45:16.175,2515.800,2140.500,375.200,0.000,0.000,0,2517.202,8.0858392
2026-03-19 03:45:18.752,2512.100,2135.300,376.700,0.000,0.000,0,2517.076,8.0661654
2026-03-19 03:45:21.321,2513.300,2136.400,376.900,0.000,0.000,0,2517.126,8.0270121
2026-03-19 03:45:23.901,2507.000,2131.900,375.000,0.000,0.000,0,2517.06,8.0826728
2026-03-19 03:45:26.483,2517.600,2141.900,375.400,0.100,0.000,0,2517.149,8.0390111
2026-03-19 03:45:29.076,2518.600,2142.300,376.300,0.000,0.000,0,2517.255,7.9873948
